"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 17:47:39 EET 2022","Tue Nov 29 17:47:54 EET 2022","15165","chromium","record2.spec.js","","","","login test",""
"passed","Tue Nov 29 17:47:47 EET 2022","Tue Nov 29 17:48:10 EET 2022","23262","firefox","record1.spec.js","","","","record test",""
"passed","Tue Nov 29 17:47:39 EET 2022","Tue Nov 29 17:47:52 EET 2022","13712","chromium","My_first_Test.spec.js","","","","my first test",""
"passed","Tue Nov 29 17:48:04 EET 2022","Tue Nov 29 17:48:10 EET 2022","6272","webkit","recordlogin.spec.js","","","","login test2",""
"passed","Tue Nov 29 17:47:52 EET 2022","Tue Nov 29 17:47:56 EET 2022","4100","firefox","record2.spec.js","","","","login test",""
"passed","Tue Nov 29 17:47:39 EET 2022","Tue Nov 29 17:48:10 EET 2022","30967","chromium","record1.spec.js","","","","record test",""
"passed","Tue Nov 29 17:48:02 EET 2022","Tue Nov 29 17:48:27 EET 2022","24344","webkit","record1.spec.js","","","","record test",""
"passed","Tue Nov 29 17:48:01 EET 2022","Tue Nov 29 17:48:10 EET 2022","8974","webkit","record2.spec.js","","","","login test",""
"failed","Tue Nov 29 17:48:27 EET 2022","Tue Nov 29 17:48:42 EET 2022","15574","webkit","map.spec.js","","","","map",""
"failed","Tue Nov 29 17:48:13 EET 2022","Tue Nov 29 17:48:24 EET 2022","11640","firefox","map.spec.js","","","","map",""
"failed","Tue Nov 29 17:48:12 EET 2022","Tue Nov 29 17:48:26 EET 2022","14183","chromium","map.spec.js","","","","map",""
"passed","Tue Nov 29 17:47:39 EET 2022","Tue Nov 29 17:47:53 EET 2022","14000","chromium","example.spec.js","","","","homepage has title and links to intro page",""
"passed","Tue Nov 29 17:47:39 EET 2022","Tue Nov 29 17:47:47 EET 2022","7946","firefox","example.spec.js","","","","homepage has title and links to intro page",""
"passed","Tue Nov 29 17:47:39 EET 2022","Tue Nov 29 17:47:45 EET 2022","6318","chromium","recordlogin.spec.js","","","","login test2",""
"passed","Tue Nov 29 17:47:54 EET 2022","Tue Nov 29 17:48:01 EET 2022","6043","firefox","recordlogin.spec.js","","","","login test2",""
"passed","Tue Nov 29 17:47:47 EET 2022","Tue Nov 29 17:47:52 EET 2022","5321","firefox","My_first_Test.spec.js","","","","my first test",""
"passed","Tue Nov 29 17:47:54 EET 2022","Tue Nov 29 17:48:01 EET 2022","6390","webkit","example.spec.js","","","","homepage has title and links to intro page",""
"passed","Tue Nov 29 17:47:59 EET 2022","Tue Nov 29 17:48:04 EET 2022","4570","webkit","My_first_Test.spec.js","","","","my first test",""
